"","method","est.period","n.win.sector","Ave.CAGR","std.dev","Sharpe.ratio"
"219","Sector Momentum",10,12,0.0501834973874899,0.215354417111504,0.233027481212546
"220","Sector Momentum",10,13,0.0494502138091774,0.21613367312287,0.228794583901164
"221","Sector Momentum",10,14,0.0560150380410966,0.221095345426144,0.253352407456303
"222","Sector Momentum",10,15,0.0561429375722682,0.217936463975948,0.257611491661461
"223","Sector Momentum",10,16,0.0570164043115221,0.223509271360045,0.255096372354398
"224","Sector Momentum",10,17,0.0574515531174267,0.226659461003724,0.253470792099354
"225","Sector Momentum",10,18,0.0589590406920998,0.229207302541138,0.257230201823599
"226","Sector Momentum",10,19,0.0601291347119416,0.229463981440944,0.262041712753148
"227","Sector Momentum",10,20,0.0592469253219904,0.230483081240937,0.257055420306778
"228","Sector Momentum",10,21,0.0565161635489953,0.234509676738719,0.240997149179321
"229","Sector Momentum",10,22,0.0542781849584789,0.232185317426748,0.233770961747411
"230","Sector Momentum",10,23,0.0522410630488841,0.237704647785778,0.219772997858941
"231","Sector Momentum",11,1,0.0176410987313046,0.355054805754745,0.0496855652856316
"232","Sector Momentum",11,2,0.0279120304626522,0.308969508061484,0.0903391102823578
"233","Sector Momentum",11,3,0.0307310639813588,0.277870523940561,0.110594904222128
"234","Sector Momentum",11,4,0.0314136813035615,0.258623061719205,0.121465120298005
"235","Sector Momentum",11,5,0.0266760223744581,0.2388894315422,0.111666816745494
"236","Sector Momentum",11,6,0.0258424884323438,0.234053166125086,0.110412898317866
"237","Sector Momentum",11,7,0.0298189855557477,0.235429749321244,0.126657678741609
"238","Sector Momentum",11,8,0.0323806863459155,0.235833532384642,0.137303147769092
"239","Sector Momentum",11,9,0.040777175386936,0.226112321388216,0.180340350921987
"240","Sector Momentum",11,10,0.0392397433442869,0.22330268052648,0.175724461756444
"241","Sector Momentum",11,11,0.0451832779220719,0.22091534285867,0.204527568512875
"242","Sector Momentum",11,12,0.047490259826913,0.215055706694494,0.220827712767359
"243","Sector Momentum",11,13,0.0514369693428281,0.22222605102844,0.23146237403213
"244","Sector Momentum",11,14,0.0524255754545083,0.229333896862285,0.228599331244914
"245","Sector Momentum",11,15,0.0557025150888451,0.232152401274877,0.239939431093333
"246","Sector Momentum",11,16,0.0539736893745699,0.233034097010593,0.231612841498111
"247","Sector Momentum",11,17,0.0508019657434687,0.233698089406536,0.217382888634124
"248","Sector Momentum",11,18,0.0486373741366325,0.231191296991007,0.210377184477339
"249","Sector Momentum",11,19,0.045294415101511,0.23097880125016,0.196097714839446
"250","Sector Momentum",11,20,0.0460623030022387,0.229336648771243,0.200850161755806
"251","Sector Momentum",11,21,0.0472307871400423,0.228069094503762,0.207089817420497
"252","Sector Momentum",11,22,0.0472160068761255,0.230709117400042,0.204656007565815
"253","Sector Momentum",11,23,0.0463089966575029,0.23813229317839,0.194467520718879
"254","Sector Momentum",12,1,0.00692028256553992,0.294940859052382,0.0234632888361896
"255","Sector Momentum",12,2,0.0453175826009761,0.311173081455513,0.145634649337285
"256","Sector Momentum",12,3,0.0598502195229396,0.288684976887235,0.207320173596418
"257","Sector Momentum",12,4,0.0502408813489432,0.282203459236796,0.178030706940365
"258","Sector Momentum",12,5,0.0481176978504076,0.271041827597007,0.177528679897888
"259","Sector Momentum",12,6,0.0549877575294861,0.256711712689163,0.214200423321033
"260","Sector Momentum",12,7,0.0580703125539337,0.23940402738758,0.242561970187417
"261","Sector Momentum",12,8,0.0588191435771556,0.238656529449809,0.24645939381066
"262","Sector Momentum",12,9,0.0624639515383987,0.232940127241517,0.26815453515072
"263","Sector Momentum",12,10,0.0625272731094131,0.232133230084949,0.269359423838334
"264","Sector Momentum",12,11,0.0600555950881483,0.231363084707063,0.259572935605465
"265","Sector Momentum",12,12,0.0657913287731132,0.226684710287186,0.290232758485397
"266","Sector Momentum",12,13,0.0663903867756491,0.232197243212646,0.285922372966542
"267","Sector Momentum",12,14,0.0669100061948841,0.236045664239089,0.283462127595411
"268","Sector Momentum",12,15,0.0719831139383528,0.240076454194738,0.299834126506899
"269","Sector Momentum",12,16,0.0718958800850345,0.2392177198475,0.300545796234776
